Sample,N,I,S,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.25,9941,2485,6957,2614,2617,1252,370,76,24,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9785,9417,357,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9558,8666,840,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9222,7541,1500,169,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,8886,6609,1958,284,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8541,5752,2264,454,65,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8206,4986,2500,599,108,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,7841,4365,2523,797,135,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,6164,2413,2291,1045,318,79,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9941,99,9826,9445,374,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9941,249,9656,8716,900,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9941,497,9384,7637,1578,161,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9941,746,9112,6699,2066,317,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9941,994,8818,5914,2328,497,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9941,1243,8534,5181,2573,655,108,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9941,1491,8251,4582,2641,823,172,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9941,2485,7076,2653,2640,1253,417,88,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9819,9429,377,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9644,8711,889,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9348,7605,1569,165,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,9050,6684,2040,289,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8743,5858,2380,429,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8431,5149,2572,587,115,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8130,4475,2730,749,155,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,6864,2601,2604,1190,363,84,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9815,9453,358,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9650,8765,843,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9362,7725,1483,143,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,9081,6801,1967,274,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8790,5986,2299,431,64,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8489,5295,2471,621,82,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8193,4595,2665,773,128,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,6976,2657,2621,1261,334,84,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9819,9428,386,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9634,8778,809,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9327,7693,1488,136,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,9004,6745,1976,263,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8676,5866,2321,424,59,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8359,5159,2474,607,108,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8058,4504,2610,743,182,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,6755,2505,2587,1173,390,85,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9795,9418,368,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9614,8717,856,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9291,7644,1497,142,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.075,9928,745,8996,6649,2027,290,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,9928,993,8675,5807,2342,448,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.125,9928,1241,8364,5071,2575,588,112,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,9928,1489,8034,4463,2663,722,155,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,9928,2482,6656,2540,2522,1122,371,87,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.01,9928,99,9812,9454,351,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.025,9928,248,9648,8719,888,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,9928,496,9370,7687,1531,138,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
