N,ave_k,sample,susceptible neighbours,S at time of sample,num 1s,num 2s,num 3s,num 4s,num 5 or more
9926.0,4.9732016925246825,0.075,2184.0,8800.0,1898.0,256.0,30.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2644.0,8406.0,2175.0,418.0,47.0,3.0,1.0
9926.0,4.9732016925246825,0.125,3015.0,7962.0,2342.0,580.0,85.0,7.0,1.0
9926.0,4.9732016925246825,0.15,3243.0,7499.0,2370.0,723.0,128.0,21.0,1.0
9926.0,4.9732016925246825,0.01,377.0,9816.0,375.0,2.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,848.0,9632.0,809.0,37.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1635.0,9340.0,1480.0,151.0,4.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2318.0,9053.0,1985.0,306.0,25.0,2.0,0.0
9926.0,4.9732016925246825,0.1,2819.0,8755.0,2311.0,444.0,55.0,8.0,1.0
9926.0,4.9732016925246825,0.125,3280.0,8455.0,2556.0,636.0,78.0,9.0,1.0
9926.0,4.9732016925246825,0.15,3630.0,8140.0,2716.0,771.0,118.0,23.0,2.0
9926.0,4.9732016925246825,0.01,364.0,9816.0,358.0,6.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,926.0,9647.0,890.0,35.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1665.0,9372.0,1482.0,170.0,11.0,2.0,0.0
9926.0,4.9732016925246825,0.075,2265.0,9090.0,1976.0,258.0,26.0,5.0,0.0
9926.0,4.9732016925246825,0.1,2766.0,8812.0,2297.0,404.0,60.0,4.0,1.0
9926.0,4.9732016925246825,0.125,3227.0,8525.0,2547.0,587.0,88.0,4.0,1.0
9926.0,4.9732016925246825,0.15,3610.0,8239.0,2712.0,752.0,131.0,13.0,2.0
9926.0,4.9732016925246825,0.01,394.0,9794.0,390.0,4.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,927.0,9617.0,880.0,45.0,2.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1687.0,9303.0,1528.0,147.0,11.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2279.0,8958.0,1997.0,259.0,18.0,5.0,0.0
9926.0,4.9732016925246825,0.1,2770.0,8575.0,2295.0,414.0,53.0,5.0,3.0
9926.0,4.9732016925246825,0.125,3181.0,8246.0,2484.0,606.0,82.0,8.0,1.0
9926.0,4.9732016925246825,0.15,3425.0,7878.0,2536.0,716.0,147.0,21.0,5.0
9926.0,4.9732016925246825,0.01,362.0,9781.0,360.0,2.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,871.0,9582.0,830.0,40.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1634.0,9269.0,1481.0,147.0,6.0,0.0,0.0
9926.0,4.9732016925246825,0.075,2236.0,8924.0,1914.0,286.0,35.0,1.0,0.0
9926.0,4.9732016925246825,0.1,2785.0,8597.0,2254.0,453.0,68.0,9.0,1.0
9926.0,4.9732016925246825,0.125,3154.0,8261.0,2433.0,609.0,92.0,18.0,2.0
9926.0,4.9732016925246825,0.15,3467.0,7925.0,2575.0,720.0,140.0,29.0,3.0
9926.0,4.9732016925246825,0.01,392.0,9798.0,387.0,5.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,946.0,9601.0,884.0,62.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1704.0,9255.0,1535.0,155.0,13.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2332.0,8933.0,2036.0,268.0,28.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2831.0,8602.0,2366.0,414.0,48.0,3.0,0.0
9926.0,4.9732016925246825,0.125,3168.0,8215.0,2529.0,548.0,83.0,7.0,1.0
9926.0,4.9732016925246825,0.15,3477.0,7828.0,2642.0,686.0,133.0,16.0,0.0
9926.0,4.9732016925246825,0.01,378.0,9816.0,375.0,3.0,0.0,0.0,0.0
9926.0,4.9732016925246825,0.025,899.0,9633.0,857.0,41.0,1.0,0.0,0.0
9926.0,4.9732016925246825,0.05,1653.0,9339.0,1514.0,133.0,5.0,1.0,0.0
9926.0,4.9732016925246825,0.075,2264.0,9027.0,1969.0,267.0,28.0,0.0,0.0
9926.0,4.9732016925246825,0.1,2783.0,8712.0,2275.0,458.0,47.0,3.0,0.0
